Y,age,therapy
40.2139625021849,child,Ctrl
40.4796581345709,child,Ctrl
40.0878287049737,child,Ctrl
40.4438585074948,child,Ctrl
39.6371620794808,child,Ctrl
40.1226740295249,child,Ctrl
39.1361548118552,child,Ctrl
40.4896242666924,child,Ctrl
39.6358830874533,child,Ctrl
38.7057579933181,child,Ctrl
39.2542309545714,child,Ctrl
40.9215503620057,child,Ctrl
40.7500543504013,child,Ctrl
37.4914459841083,child,Ctrl
36.9590659046556,child,Ctrl
40.0002658005426,child,Ctrl
39.6059810057706,child,Ctrl
38.254972339222,child,Ctrl
40.4986314507755,child,Ctrl
40.2709537887801,child,Ctrl
43.0989215201864,young,Trt
42.7525134621617,young,Trt
41.9405833126109,young,Trt
41.6554312058275,young,Trt
42.2226682962284,young,Trt
42.5517863440113,young,Trt
42.6836428230573,young,Trt
41.4541205992215,young,Trt
40.632563844065,young,Trt
43.4000518384388,young,Trt
43.3730539470112,young,Trt
42.4502565585317,young,Trt
41.8537061443736,young,Trt
42.1280972397866,young,Trt
39.7052790529981,young,Trt
40.6334310788395,young,Trt
41.8025204472605,young,Trt
42.068085782139,young,Trt
42.0905034095406,young,Trt
42.3227599666415,young,Trt
41.132978626117,old,Ctrl
39.3207356800598,old,Ctrl
40.7215204225768,old,Ctrl
39.4475890043029,old,Ctrl
39.620300745412,old,Ctrl
39.6429434098018,old,Ctrl
40.078862820375,old,Ctrl
40.1331822642712,old,Ctrl
42.6566443862259,old,Ctrl
40.8449202819522,old,Ctrl
39.4234475652581,old,Ctrl
41.6240825991322,old,Ctrl
41.3302206835676,old,Ctrl
40.6018777434686,old,Ctrl
39.9186030740389,old,Ctrl
40.9230779421793,old,Ctrl
40.4744633791538,old,Ctrl
41.3912896548669,old,Ctrl
40.3195467393909,old,Ctrl
40.2513030656419,old,Ctrl
40.8370821128064,child,Trt
40.8857848448403,child,Trt
40.5553406406014,child,Trt
41.256959171079,child,Trt
39.8998628729941,child,Trt
39.6634241110423,child,Trt
41.2048986087518,child,Trt
41.0352873535547,child,Trt
40.5610874899384,child,Trt
41.4004058631617,child,Trt
41.5851713075443,child,Trt
41.4821285395264,child,Trt
40.1951661541998,child,Trt
41.3030771876222,child,Trt
40.1738242712071,child,Trt
41.1414289150891,child,Trt
41.7403572089631,child,Trt
42.3850465519469,child,Trt
40.3664225187554,child,Trt
41.2385886378767,child,Trt
41.0366115230418,young,Ctrl
41.2885260609128,young,Ctrl
39.8940286596262,young,Ctrl
41.8922384856161,young,Ctrl
42.1814691525565,young,Ctrl
41.3511679292584,young,Ctrl
41.0630067211558,young,Ctrl
42.3942617235584,young,Ctrl
40.9874920788851,young,Ctrl
41.6780764295349,young,Ctrl
40.9438534232517,young,Ctrl
41.1359938282728,young,Ctrl
42.8645760164131,young,Ctrl
42.1487083479504,young,Ctrl
40.0600139359985,young,Ctrl
40.9381137270578,young,Ctrl
40.6239094962578,young,Ctrl
41.2096888497178,young,Ctrl
41.7054585816142,young,Ctrl
41.6520884736226,young,Ctrl
40.4749305807916,old,Trt
41.4990082924852,old,Trt
40.7868187538579,old,Trt
41.3697232462064,old,Trt
40.5525144793867,old,Trt
41.8330916008907,old,Trt
43.5889265007951,old,Trt
41.7696426488627,old,Trt
41.4266285263167,old,Trt
42.5627325261994,old,Trt
41.7550838675419,old,Trt
44.0381512544115,old,Trt
41.7487981659424,old,Trt
39.0013272821406,old,Trt
40.8052656230522,old,Trt
42.9664163729715,old,Trt
40.8130689173285,old,Trt
41.1503560079306,old,Trt
41.5910105816182,old,Trt
40.172261074612,old,Trt
