Treatment,Response
Placeb,9.90400105733866
Interv,9.55896366944752
Interv,10.1000088357247
Placeb,10.1909560355405
Interv,9.87829772419732
Interv,9.63049609351235
Placeb,9.97231536531569
Placeb,10.1234895769294
Placeb,9.997597384116
Interv,9.88518049392282
Interv,9.95461943420671
Placeb,10.0692010900952
Interv,10.1291341388548
Placeb,10.1776382303128
Interv,10.2150709417428
Interv,10.1420906987284
Interv,9.94164634007719
Interv,10.2369469439741
Interv,9.84434854653391
Interv,9.78488147426532
Placeb,9.67050408164573
Interv,9.74900328516101
Placeb,10.0707176497088
Placeb,10.4944561493632
Placeb,9.94265850022948
Placeb,9.99119107645065
Placeb,9.87532101112064
Interv,10.1678481860598
Interv,9.80210663966372
Placeb,10.4894845673104
Placeb,9.79924681659622
Placeb,10.1552175058168
Placeb,10.273178943828
Placeb,9.93588347404121
Placeb,9.91583546657797
Interv,9.94052507326448
Placeb,9.87757455833436
Placeb,10.1333015088422
Placeb,10.1375664660818
Interv,9.85596906114091
Placeb,10.100988966904
Placeb,10.2807589667564
Interv,9.72554860902656
Placeb,10.0274206940053
Interv,9.91111456807399
Placeb,9.57993625438016
Interv,10.0068554149342
Interv,9.78711125571945
Interv,9.66144621296529
Interv,10.3983586296081
Interv,10.1152081563115
Placeb,10.3790314987921
Interv,10.1348640738255
Interv,9.32607221791634
Placeb,10.0913019343538
Interv,10.106484560853
Placeb,9.72930244951036
Interv,10.3838669711492
Placeb,9.76737654103648
Placeb,10.00483792845
Interv,9.77237049425018
Interv,10.1228918117506
Interv,9.89908573326875
Placeb,10.0060356934347
Interv,10.1340081233063
Placeb,10.1510642125071
Interv,9.9315347261675
Placeb,10.2570940756546
Placeb,9.75633263178072
Interv,9.78148001612915
Placeb,10.1142276157658
Interv,9.82529425902085
Placeb,10.0450141439511
Placeb,10.5378396437102
Interv,9.72617415816798
Placeb,10.2478001238317
Interv,9.60666573874422
Placeb,9.96230281724471
Interv,10.0843708287352
Interv,9.86657827858911
Interv,10.1792738148169
Interv,9.8908382400064
Interv,9.81174571074597
Placeb,9.80935218437155
Interv,9.89229494621845
Placeb,9.59457132083711
Interv,10.2472633693558
Placeb,9.94360015384446
Placeb,9.94745679904885
Interv,9.97421520908963
Interv,9.95606060634163
Placeb,10.0037732131411
Interv,10.4054464124931
Placeb,9.78899794655328
Placeb,9.56448020765396
Placeb,10.0675052305643
Interv,10.1688988034635
Placeb,10.08351866122
Interv,9.6074018331327
Placeb,9.94886704980543
